No,year,month,day,hour,season,PM_Jingan,PM_US Post,PM_Xuhui,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
1,2011,12,28,18,4,,36,,4,62,1027.1,11,NE,8,0,0
2,2011,12,28,19,4,,41,,4,62,1027.1,11,NE,9,0,0
3,2011,12,28,20,4,,44,,5,71.07,1028.1,10,NE,11,0,0
4,2011,12,28,21,4,,40,,5,71.07,1028.1,10,NE,13,0,0
5,2011,12,28,22,4,,25,,6,76.18,1028.1,10,NE,15,0,0
6,2011,12,28,23,4,,28,,6,76.18,1028.1,10,NE,17,0,0
7,2011,12,29,0,4,,34,,6,76.18,1028.1,10,NE,19,0,0
8,2011,12,29,1,4,,25,,5,76.01,1028.1,9,NE,21,0,0
9,2011,12,29,2,4,,27,,5,76.01,1028.1,9,NE,23,0,0
10,2011,12,29,3,4,,35,,5,81.34,1028.1,8,NE,25,0,0
11,2011,12,29,4,4,,33,,5,81.34,1027.1,8,NE,29,0,0
12,2011,12,29,5,4,,34,,4,70.88,1028.1,9,NE,34,0,0
13,2011,12,29,6,4,,36,,4,70.88,1028.1,9,NE,37,0,0
14,2011,12,29,7,4,,40,,4,70.88,1029.1,9,NE,40,0,0
15,2011,12,29,8,4,,41,,4,70.88,1030.1,9,NE,44,0,0
16,2011,12,29,9,4,,40,,4,66.27,1030.1,10,NE,49,0,0
17,2011,12,29,10,4,,40,,4,62,1030.1,11,NE,55,0,0
18,2011,12,29,11,4,,,,3,57.77,1030.1,11,NE,61,0,0
19,2011,12,29,12,4,,38,,3,57.77,1030.1,11,NE,66,0,0
20,2011,12,29,13,4,,30,,1,50.08,1029.1,11,NE,71,0,0
21,2011,12,29,14,4,,42,,2,53.81,1028.1,11,NE,76,0,0
22,2011,12,29,15,4,,40,,3,61.76,1028.1,10,NE,83,0,0
23,2011,12,29,16,4,,40,,3,61.76,1029.1,10,NE,89,0,0
24,2011,12,29,17,4,,79,,3,66.05,1029.1,9,NE,95,0,0
25,2011,12,29,18,4,,94,,3,66.05,1031.2,9,NE,102,0,0
26,2011,12,29,19,4,,126,,3,70.67,1031.2,8,NE,108,0,0
27,2011,12,29,20,4,,125,,3,75.67,1031.2,7,NE,115,0,0
28,2011,12,29,21,4,,105,,3,75.67,1031.2,7,NE,120,0,0
29,2011,12,29,22,4,,73,,3,81.06,1031.2,6,NE,125,0,0
30,2011,12,29,23,4,,47,,1,70.27,1031.8,6,NE,131,0,0
31,2011,12,30,0,4,,35,,1,70.27,1031.8,6,NE,136,0,0
32,2011,12,30,1,4,,30,,0,65.36,1031.8,6,NE,141,0,0
33,2011,12,30,2,4,,27,,0,70.06,1031.8,5,NE,146,0,0
34,2011,12,30,3,4,,29,,0,75.14,1031.8,4,NE,151,0,0
35,2011,12,30,4,4,,18,,0,75.14,1031.8,4,NE,156,0,0
36,2011,12,30,5,4,,21,,0,80.63,1032.9,3,NE,160,0,0
37,2011,12,30,6,4,,23,,0,80.63,1032.9,3,NE,164,0,0
38,2011,12,30,7,4,,18,,0,80.63,1033.9,3,NE,168,0,0
39,2011,12,30,8,4,,24,,0,75.14,1033.9,4,NE,172,0,0
40,2011,12,30,9,4,,19,,-1,60.76,1034.9,6,NE,177,0,0
41,2011,12,30,10,4,,22,,-1,56.72,1034.9,7,NE,184,0,0
42,2011,12,30,11,4,,27,,-1,52.98,1033.9,8,NE,189,0,0
43,2011,12,30,12,4,,32,,-2,49.22,1032.9,8,NE,194,0,0
44,2011,12,30,13,4,,46,,-1,52.98,1031.8,8,NE,200,0,0
45,2011,12,30,14,4,,56,,-1,52.98,1031.8,8,NE,205,0,0
46,2011,12,30,15,4,,64,,-2,49.22,1031.8,8,NE,210,0,0
47,2011,12,30,16,4,,71,,-1,56.72,1032.9,7,NE,215,0,0
48,2011,12,30,17,4,,70,,-2,56.45,1032.9,6,NE,220,0,0
49,2011,12,30,18,4,,75,,-1,60.76,1032.9,6,NE,225,0,0
50,2011,12,30,19,4,,78,,-2,60.51,1032.9,5,NE,229,0,0
51,2011,12,30,20,4,,68,,-2,60.51,1031.8,5,NE,234,0,0
52,2011,12,30,21,4,,72,,-2,60.51,1032.9,5,NE,236,0,0
53,2011,12,30,22,4,,63,,-2,60.51,1031.8,5,NE,239,0,0
54,2011,12,30,23,4,,63,,-2,69.64,1031.8,3,NE,242,0,0
55,2011,12,31,0,4,,64,,-1,69.85,1031.2,4,NE,245,0,0
56,2011,12,31,1,4,,68,,-2,69.64,1031.8,3,NW,2,0,0
57,2011,12,31,2,4,,59,,-2,74.78,1031.8,2,NW,5,0,0
58,2011,12,31,3,4,,66,,-2,80.34,1031.2,1,NW,8,0,0
59,2011,12,31,4,4,,77,,-2,74.78,1031.2,2,NE,1,0,0
60,2011,12,31,5,4,,85,,-2,80.34,1030.1,1,NE,3,0,0
61,2011,12,31,6,4,,86,,-2,80.34,1030.1,1,NE,6,0,0
62,2011,12,31,7,4,,82,,-2,80.34,1030.1,1,NE,8,0,0
63,2011,12,31,8,4,,85,,0,80.63,1030.1,3,NW,2,0,0
64,2011,12,31,9,4,,98,,1,70.27,1031.2,6,cv,1,0,0
65,2011,12,31,10,4,,100,,0,61.01,1031.2,7,NE,2,0,0
66,2011,12,31,11,4,,106,,0,56.99,1030.1,8,NW,2,0,0
67,2011,12,31,12,4,,94,,-1,49.51,1029.1,9,NE,2,0,0
68,2011,12,31,13,4,,87,,-1,46.29,1027.1,10,SE,2,0,0
69,2011,12,31,14,4,,80,,-1,43.31,1027.1,11,SW,2,0,0
70,2011,12,31,15,4,,730,,-1,46.29,1026.1,10,SW,4,0,0
71,2011,12,31,16,4,,80,,-1,46.29,1026.1,10,SW,7,0,0
72,2011,12,31,17,4,,94,,-1,49.51,1027.1,9,SW,10,0,0
73,2011,12,31,18,4,,99,,0,56.99,1027.1,8,NW,3,0,0
74,2011,12,31,19,4,,101,,-1,56.72,1028.1,7,NE,2,0,0
75,2011,12,31,20,4,,100,,1,65.59,1028.1,7,SE,2,0,0
76,2011,12,31,21,4,,97,,1,65.59,1028.1,7,SE,4,0,0
77,2011,12,31,22,4,,106,,1,65.59,1028.1,7,SE,7,0,0
78,2011,12,31,23,4,,110,,1,65.59,1028.1,7,SE,9,,
79,2012,1,1,0,4,,112,,0,75.14,1028.1,4,SW,2,,
80,2012,1,1,1,4,,113,,0,75.14,1028.1,4,SW,3,,
81,2012,1,1,2,4,,115,,0,80.63,1028.1,3,NW,1,,
82,2012,1,1,3,4,,144,,0,86.58,1028.1,2,cv,0,,
83,2012,1,1,4,4,,152,,0,80.63,1028.1,3,cv,0,,
84,2012,1,1,5,4,,138,,1,80.78,1028.1,4,cv,0,,
85,2012,1,1,6,4,,136,,2,86.79,1028.1,4,NW,2,,
86,2012,1,1,7,4,,133,,2,80.92,1029.1,5,NW,4,,
87,2012,1,1,8,4,,134,,2,80.92,1030.1,5,NE,4,0,0
88,2012,1,1,9,4,,131,,1,70.27,1031.2,6,NE,9,0,0
89,2012,1,1,10,4,,100,,-1,60.76,1031.2,6,NW,5,0,0
90,2012,1,1,11,4,,98,,-3,45.7,1030.1,8,NW,11,0,0
91,2012,1,1,12,4,,68,,-4,42.4,1029.1,8,NE,7,0,0
92,2012,1,1,13,4,,71,,-3,45.7,1029.1,8,NW,6,0,0
93,2012,1,1,14,4,,78,,-3,45.7,1029.1,8,NE,7,0,0
94,2012,1,1,15,4,,85,,-3,45.7,1029.1,8,NE,13,0,0
95,2012,1,1,16,4,,96,,-3,45.7,1029.1,8,NE,20,0,0
96,2012,1,1,17,4,,143,,-1,56.72,1030.1,7,NE,27,0,0
97,2012,1,1,18,4,,151,,-1,56.72,1030.1,7,NE,34,0,0
98,2012,1,1,19,4,,162,,-1,65.13,1031.2,5,NE,42,0,0
99,2012,1,1,20,4,,113,,-1,69.85,1031.2,4,NE,47,0,0
100,2012,1,1,21,4,,73,,-2,69.64,1031.2,3,NE,51,0,0
101,2012,1,1,22,4,,64,,-2,69.64,1031.2,3,NE,55,0,0
102,2012,1,1,23,4,,57,,-2,74.78,1030.1,2,NE,58,0,0
103,2012,1,2,0,4,,38,,-2,69.64,1030.1,3,NE,62,0,0
104,2012,1,2,1,4,,31,,-3,69.43,1029.1,2,NE,65,0,0
105,2012,1,2,2,4,,39,,-3,64.66,1030.1,3,NW,3,0,0
106,2012,1,2,3,4,,38,,-3,69.43,1030.1,2,NW,6,0,0
107,2012,1,2,4,4,,37,,-3,74.59,1029.1,1,cv,1,0,0
108,2012,1,2,5,4,,44,,-3,74.59,1029.1,1,NW,2,0,0
109,2012,1,2,6,4,,57,,-3,69.43,1029.1,2,NE,1,0,0
110,2012,1,2,7,4,,58,,-3,74.59,1029.1,1,NW,3,0,0
111,2012,1,2,8,4,,68,,-2,69.64,1030.1,3,NW,5,0,0
112,2012,1,2,9,4,,77,,-1,74.96,1030.1,3,NW,6,0,0
113,2012,1,2,10,4,,79,,-1,65.13,1031.2,5,NE,2,0,0
114,2012,1,2,11,4,,55,,-3,48.93,1029.1,7,NE,5,0,0
115,2012,1,2,12,4,,42,,-4,45.4,1028.1,7,NW,2,0,0
116,2012,1,2,13,4,,44,,-4,39.63,1027.1,9,NW,5,0,0
117,2012,1,2,14,4,,48,,-3,45.7,1026.1,8,cv,1,0,0
118,2012,1,2,15,4,,50,,-4,42.4,1025.1,8,NE,2,0,0
119,2012,1,2,16,4,,57,,-4,42.4,1025.1,8,NE,3,0,0
120,2012,1,2,17,4,,65,,-3,48.93,1026.1,7,NE,7,0,0
121,2012,1,2,18,4,,63,,-3,52.41,1026.1,6,NE,10,0,0
122,2012,1,2,19,4,,54,,-1,60.76,1026.1,6,NE,12,0,0
123,2012,1,2,20,4,,44,,-1,65.13,1027.1,5,NE,14,0,0
124,2012,1,2,21,4,,46,,-2,60.51,1027.1,5,NE,16,0,0
125,2012,1,2,22,4,,42,,-1,69.85,1027.1,4,NE,18,0,0
126,2012,1,2,23,4,,39,,-2,69.64,1027.1,3,NE,21,0,0
127,2012,1,3,0,4,,43,,-2,69.64,1027.1,3,NE,24,0,0
128,2012,1,3,1,4,,44,,-1,74.96,1027.1,3,NE,26,0,0
129,2012,1,3,2,4,,39,,-2,69.64,1026.1,3,NE,27,0,0
130,2012,1,3,3,4,,40,,-2,74.78,1026.1,2,NE,29,0,0
131,2012,1,3,4,4,,42,,-2,74.78,1026.1,2,NE,31,0,0
132,2012,1,3,5,4,,38,,-1,80.49,1027.1,2,NW,3,0,0
133,2012,1,3,6,4,,52,,-1,74.96,1027.1,3,NW,6,0,0
134,2012,1,3,7,4,,58,,-1,74.96,1028.1,3,NW,9,0,0
135,2012,1,3,8,4,,54,,-1,69.85,1028.1,4,NW,12,0,0
136,2012,1,3,9,4,,62,,-1,69.85,1029.1,4,NW,15,0,0
137,2012,1,3,10,4,,69,,-1,65.13,1029.1,5,NW,19,0,0
138,2012,1,3,11,4,,85,,-2,60.51,1029.1,5,NW,24,0,0
139,2012,1,3,12,4,,124,,-3,52.41,1028.1,6,NW,30,0,0
140,2012,1,3,13,4,,144,,-2,60.51,1028.1,5,NW,38,0,0
141,2012,1,3,14,4,,219,,-3,56.18,1027.1,5,NW,45,0,0
142,2012,1,3,15,4,,194,,-4,52.13,1028.1,5,NW,52,0,0
143,2012,1,3,16,4,,123,,-8,41.17,1028.1,4,NW,59,0,0
144,2012,1,3,17,4,,86,,-8,41.17,1029.1,4,NW,65,0,0
145,2012,1,3,18,4,,85,,-11,34.88,1030.1,3,NW,71,0,0
146,2012,1,3,19,4,,63,,-13,29.69,1030.1,3,NW,78,0,0
147,2012,1,3,20,4,,58,,-12,34.56,1031.2,2,NW,84,0,0
148,2012,1,3,21,4,,64,,-12,34.56,1031.2,2,NW,90,0,0
149,2012,1,3,22,4,,79,,-11,37.45,1031.8,2,NW,96,0,0
150,2012,1,3,23,4,,85,,-10,40.55,1031.8,2,NW,102,0,0
151,2012,1,4,0,4,,97,,-10,43.57,1031.8,1,NW,109,0,0
152,2012,1,4,1,4,,85,,-10,46.84,1031.8,0,NW,114,0,0
153,2012,1,4,2,4,,81,,-10,46.84,1032.9,0,NW,120,0,0
154,2012,1,4,3,4,,105,,-9,50.68,1032.9,0,NW,126,0,0
155,2012,1,4,4,4,,111,,-9,54.51,1032.9,-1,NW,131,0,0
156,2012,1,4,5,4,,105,,-10,50.38,1032.9,-1,NW,136,0,0
157,2012,1,4,6,4,,93,,-10,50.38,1033.9,-1,NW,140,0,0
158,2012,1,4,7,4,,88,,-10,54.23,1034.9,-2,NW,145,0,0
159,2012,1,4,8,4,,88,,-10,50.38,1034.9,-1,NW,150,0,0
160,2012,1,4,9,4,,87,,-12,39.92,1035.9,0,NW,156,0,0
161,2012,1,4,10,4,,75,,-13,31.88,1035.9,2,NW,163,0,0
162,2012,1,4,11,4,,55,,-14,29.38,1034.9,2,NW,170,0,0
163,2012,1,4,12,4,,44,,-15,25.19,1033.9,3,NW,177,0,0
164,2012,1,4,13,4,,46,,-17,21.32,1032.9,3,NW,185,0,0
165,2012,1,4,14,4,,47,,-17,19.87,1032.9,4,NW,193,0,0
166,2012,1,4,15,4,,54,,-14,25.49,1032.9,4,NW,199,0,0
167,2012,1,4,16,4,,47,,-15,25.19,1032.9,3,NW,206,0,0
168,2012,1,4,17,4,,52,,-15,27.05,1032.9,2,NE,5,0,0
169,2012,1,4,18,4,,54,,-14,29.38,1033.9,2,NW,4,0,0
170,2012,1,4,19,4,,58,,-13,36.82,1033.9,0,NE,4,0,0
171,2012,1,4,20,4,,55,,-14,31.56,1033.9,1,NW,3,0,0
172,2012,1,4,21,4,,64,,-11,46.53,1033.9,-1,NE,4,0,0
173,2012,1,4,22,4,,64,,-10,50.38,1033.9,-1,NE,7,0,0
174,2012,1,4,23,4,,49,,-9,54.51,1033.9,-1,NE,10,0,0
175,2012,1,5,0,4,,53,,-8,63.45,1033.9,-2,NE,13,0,0
176,2012,1,5,1,4,,51,,-8,58.95,1032.9,-1,NE,17,0,0
177,2012,1,5,2,4,,39,,-8,58.95,1032.9,-1,NE,20,0,0
178,2012,1,5,3,4,,38,,-7,59.21,1031.8,0,NE,24,0,0
179,2012,1,5,4,4,,38,,-7,63.69,1032.9,-1,NW,2,0,0
180,2012,1,5,5,4,,36,,-7,63.69,1032.9,-1,NE,2,0,0
181,2012,1,5,6,4,,38,,-7,63.69,1032.9,-1,NE,5,0,0
182,2012,1,5,7,4,,46,,-8,54.8,1033.9,0,NW,3,0,0
183,2012,1,5,8,4,,50,,-11,43.26,1032.9,0,NW,6,0,0
184,2012,1,5,9,4,,49,,-11,40.24,1033.9,1,NW,9,0,0
185,2012,1,5,10,4,,49,,-11,37.45,1032.9,2,NE,3,0,0
186,2012,1,5,11,4,,,,-11,32.5,1031.8,4,cv,2,0,0
187,2012,1,5,12,4,,,,-11,30.31,1031.2,5,NW,2,0,0
188,2012,1,5,13,4,,50,,-11,30.31,1030.1,5,NW,4,0,0
189,2012,1,5,14,4,,50,,-12,26.09,1029.1,6,SW,2,0,0
190,2012,1,5,15,4,,59,,-13,24.06,1029.1,6,SW,4,0,0
191,2012,1,5,16,4,,60,,-14,23.77,1028.1,5,NW,2,0,0
192,2012,1,5,17,4,,71,,-13,27.66,1029.1,4,SW,3,0,0
193,2012,1,5,18,4,,84,,-12,32.19,1029.1,3,NW,2,0,0
194,2012,1,5,19,4,,72,,-12,32.19,1029.1,3,NW,4,0,0
195,2012,1,5,20,4,,64,,-12,34.56,1030.1,2,SW,2,0,0
196,2012,1,5,21,4,,50,,-4,55.91,1029.1,4,cv,2,0,0
197,2012,1,5,22,4,,48,,-3,64.66,1029.1,3,NE,2,0,0
198,2012,1,5,23,4,,45,,-3,64.66,1030.1,3,NE,3,0,0
199,2012,1,6,0,4,,49,,-3,64.66,1029.1,3,NE,4,0,0
200,2012,1,6,1,4,,52,,-3,64.66,1030.1,3,NE,7,0,0
201,2012,1,6,2,4,,53,,-2,69.64,1029.1,3,NE,11,0,0
202,2012,1,6,3,4,,50,,-3,64.66,1030.1,3,NE,14,0,0
203,2012,1,6,4,4,,57,,-3,64.66,1030.1,3,NE,17,0,0
204,2012,1,6,5,4,,56,,-4,60,1030.1,3,NE,20,0,0
205,2012,1,6,6,4,,56,,-4,60,1030.1,3,NE,22,0,0
206,2012,1,6,7,4,,58,,-5,51.84,1030.1,4,NE,25,0,0
207,2012,1,6,8,4,,43,,-4,55.91,1031.2,4,NE,28,0,0
208,2012,1,6,9,4,,42,,-3,60.25,1031.8,4,NE,32,0,0
209,2012,1,6,10,4,,41,,-3,56.18,1032.9,5,NE,36,0,0
210,2012,1,6,11,4,,34,,-6,44.8,1031.8,5,NE,39,0,0
211,2012,1,6,12,4,,43,,-6,41.79,1031.2,6,NE,43,0,0
212,2012,1,6,13,4,,42,,-7,38.7,1031.2,6,NE,48,0,0
